Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;Price;bigger_then_mean;number_of_ad;ads_category;many_ads;normally_ads
8224;177;3.0;77.87394;48.991135;12.0;9;25.0;2012;0.0;0;0;36;6714;2;2672.0;0;2;0;191550.12;1;10;few_ads;0.0;0.0
9371;23;2.0;60.50325;32.554848;6.0;16;16.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;229778.06;0;565;many_ads;1.0;0.0
10739;99;2.0;45.257137;32.613827;5.0;4;5.0;1971;0.03349371;0;0;66;10573;1;1322.0;3;8;0;171266.95;0;97;normally_ads;0.0;1.0
1853;101;3.0;58.419815;37.275616;5.0;5;5.0;1963;0.22582495;1;0;41;6558;7;1548.0;3;2;0;197456.92;0;97;normally_ads;0.0;1.0
9833;1;2.0;56.494316;37.958775;6.0;9;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;196078.9;0;652;many_ads;1.0;0.0
175;23;2.0;58.69213;32.554848;1.0;16;17.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;184501.02;0;565;many_ads;1.0;0.0
10521;38;3.0;104.211395;78.57708;7.0;20;20.0;2017;0.060753047;0;0;15;2787;2;520.0;0;7;0;435462.06;1;36;few_ads;0.0;0.0
7008;21;2.0;48.85174;33.533432;5.0;5;5.0;1970;0.19448927;0;0;47;8004;3;125.0;3;5;0;183826.31;1;165;normally_ads;0.0;1.0
1821;23;2.0;49.92949;32.554848;1.0;9;12.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;88464.42;0;565;many_ads;1.0;0.0
14292;103;1.0;41.53814;21.663929;8.0;7;16.0;1981;0.014423114;0;0;19;3806;4;705.0;0;3;0;234052.27;1;33;few_ads;0.0;0.0
7596;23;1.0;47.0801;25.03315;12.0;3;9.0;1977;0.014072961;0;0;2;475;0;1406.0;0;0;0;96029.164;1;565;many_ads;1.0;0.0
13393;98;1.0;41.270615;21.663929;7.0;8;14.0;2003;0.19578105;0;0;23;5212;6;3855.0;3;2;0;214733.34;1;21;few_ads;0.0;0.0
2221;170;1.0;35.390236;21.663929;5.0;3;5.0;1963;0.21843974;0;0;21;4472;6;1450.0;4;7;1;172795.86;0;16;few_ads;0.0;0.0
10103;94;1.0;35.280895;21.663929;6.0;11;11.0;1971;0.28279766;0;0;33;8667;2;30.0;0;6;0;148862.2;0;89;normally_ads;0.0;1.0
2301;1;2.0;61.400055;42.86451;6.0;17;22.0;2016;0.007122317;0;0;1;264;0;645.0;0;1;0;199215.45;0;652;many_ads;1.0;0.0
6455;44;1.0;31.893484;21.663929;7.0;3;14.0;1973;0.17505486;0;0;36;10055;3;1036.0;1;0;0;182946.36;0;104;normally_ads;0.0;1.0
16334;1;1.0;42.414177;21.663929;1.0;14;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;156476.61;0;652;many_ads;1.0;0.0
3963;48;3.0;60.496735;38.70193;6.0;4;9.0;1980;0.041124634;0;0;46;9515;5;2620.0;1;10;0;276349.9;0;90;normally_ads;0.0;1.0
10065;5;2.0;54.477432;31.149445;7.0;14;22.0;1991;0.15081754;0;0;16;3433;4;2643.0;4;5;0;279119.9;1;34;few_ads;0.0;0.0
3203;23;2.0;56.2187;32.554848;1.0;3;3.0;1977;0.005767451;0;0;1;388;0;1406.0;0;0;0;90303.664;0;565;many_ads;1.0;0.0
1982;28;1.0;38.007935;21.663929;9.0;1;12.0;1970;0.11853738;0;0;30;6207;1;1183.0;1;0;0;147636.77;0;79;normally_ads;0.0;1.0
12393;11;2.0;57.322495;31.788006;10.0;5;16.0;1980;0.000169676;0;0;36;5992;0;30.0;1;1;0;242402.23;1;129;normally_ads;0.0;1.0
16601;88;2.0;47.317528;31.100517;6.0;6;12.0;1975;0.1273759;0;0;43;8429;3;810.0;3;9;0;207641.67;0;64;normally_ads;0.0;1.0
4191;1;2.0;65.023895;32.554848;1.0;10;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;197343.8;1;652;many_ads;1.0;0.0
7619;47;2.0;54.787323;33.512142;8.0;1;12.0;1978;6.99893e-05;0;0;46;10309;1;240.0;1;16;0;100471.95;1;97;normally_ads;0.0;1.0
7605;6;1.0;42.50553;21.663929;1.0;6;12.0;2014;0.24320452;0;0;5;1564;0;540.0;0;0;0;113617.22;0;511;many_ads;1.0;0.0
9723;52;2.0;64.14115;32.554848;1.0;5;17.0;1977;0.371149;0;0;34;7065;1;750.0;2;5;0;158148.94;1;143;normally_ads;0.0;1.0
11398;62;1.0;41.194187;21.663929;6.0;6;6.0;1977;0.072157584;0;0;2;629;1;80.0;0;0;1;114063.09;0;247;normally_ads;0.0;1.0
3759;31;2.0;57.955975;32.27258;9.0;17;17.0;2001;0.15134622;0;1;32;5889;10;830.0;4;1;0;339414.56;0;55;few_ads;0.0;0.0
8443;57;2.0;45.96489;32.554848;5.0;7;7.0;1963;0.13321534;0;0;49;11395;3;1406.0;3;4;1;180538.9;0;107;normally_ads;0.0;1.0
1063;77;1.0;42.678844;21.663929;8.0;14;14.0;1983;6.99893e-05;0;0;46;10309;1;240.0;1;16;0;179784.47;1;40;few_ads;0.0;0.0
6925;27;2.0;64.9291;42.39356;10.0;15;17.0;2016;0.072157584;0;0;2;629;1;262.0;0;0;1;228584.0;1;851;many_ads;1.0;0.0
10362;27;2.0;79.22705;32.554848;6.0;9;9.0;1977;0.072157584;0;0;2;629;1;262.0;0;0;1;167023.97;1;851;many_ads;1.0;0.0
2136;74;2.0;84.68773;66.15219;6.0;12;17.0;2017;0.07577875;0;0;6;1437;3;1940.0;0;2;0;243479.88;1;114;normally_ads;0.0;1.0
14675;74;1.0;52.45759;36.410637;6.0;18;18.0;1977;0.07577875;0;0;6;1437;3;1940.0;0;2;0;160292.16;1;114;normally_ads;0.0;1.0
9413;79;1.0;39.429665;21.663929;9.0;2;16.0;1981;0.16909109;0;0;19;3856;10;145.0;2;5;0;174952.64;0;42;few_ads;0.0;0.0
4014;6;2.0;63.18442;61.142895;1.0;17;17.0;2016;0.24320452;0;0;5;1564;0;540.0;0;0;0;190762.98;1;511;many_ads;1.0;0.0
12246;9;1.0;50.299168;21.663929;9.0;11;16.0;2006;0.13624443;0;0;11;2370;0;1130.0;0;1;0;197101.05;1;294;normally_ads;0.0;1.0
14020;34;1.0;47.90933;42.782387;1.0;2;2.0;2016;0.069753364;0;0;53;13670;4;800.0;1;11;0;181167.64;1;111;normally_ads;0.0;1.0
2435;85;4.0;65.55984;47.696255;6.0;6;9.0;1976;0.03717782;0;0;52;11217;1;2300.0;1;7;0;266989.03;1;76;normally_ads;0.0;1.0
7758;156;1.0;39.248928;21.663929;7.0;13;17.0;2009;0.007658515;0;0;35;7077;56;2301.0;3;19;0;254236.33;0;10;few_ads;0.0;0.0
12162;69;1.0;39.252556;21.663929;7.0;1;16.0;1985;0.000991363;0;0;33;6783;3;4508.0;1;9;0;184737.92;1;29;few_ads;0.0;0.0
15600;108;2.0;49.88874;31.603651;6.0;9;12.0;1974;0.0;0;0;23;3684;2;1020.0;0;4;0;261086.03;0;27;few_ads;0.0;0.0
6832;96;2.0;62.78381;35.222366;10.0;5;10.0;1994;0.041116353;0;0;53;14892;4;2300.0;1;4;0;259293.02;1;71;normally_ads;0.0;1.0
2952;169;2.0;58.43361;31.086988;8.0;3;14.0;1970;0.21047324;0;0;11;2398;2;1994.0;3;0;0;116661.59;1;22;few_ads;0.0;0.0
2855;18;2.0;61.71855;33.040115;10.0;10;11.0;2000;0.0;0;0;30;5562;0;3300.0;0;5;1;267609.8;1;51;few_ads;0.0;0.0
7488;21;1.0;42.501225;21.663929;8.0;2;12.0;1979;0.19448927;0;0;47;8004;3;125.0;3;5;0;153038.22;1;165;normally_ads;0.0;1.0
11248;27;2.0;54.583233;33.3203;11.0;2;9.0;2000;0.041116353;0;0;53;14892;4;262.0;1;4;0;238779.45;0;851;many_ads;1.0;0.0
9613;148;3.0;127.48158;46.96048;1.0;16;16.0;2012;0.31392455;0;0;22;4625;11;3855.0;2;10;0;510700.44;1;11;few_ads;0.0;0.0
16674;94;2.0;47.145626;30.738285;5.0;11;11.0;1976;0.1273759;0;0;43;8429;3;30.0;3;9;0;210364.31;0;89;normally_ads;0.0;1.0
3918;41;2.0;48.07704;32.554848;5.0;5;9.0;1968;0.17505486;0;0;36;10055;3;240.0;1;0;0;198183.08;0;87;normally_ads;0.0;1.0
11902;128;2.0;52.082184;34.01706;8.0;7;17.0;1994;0.0;0;0;27;4798;0;30.0;2;8;0;243824.8;0;64;normally_ads;0.0;1.0
13395;10;2.0;50.29076;32.460808;6.0;12;12.0;1973;0.08903972;0;0;33;7976;5;30.0;0;11;0;242107.1;0;56;normally_ads;0.0;1.0
1836;144;2.0;49.03079;31.918896;8.0;2;5.0;1964;0.30697748;0;0;27;5148;14;1575.0;5;7;0;212786.0;0;20;few_ads;0.0;0.0
1671;120;3.0;58.57037;37.434128;5.0;4;5.0;1961;0.34107193;0;0;27;5664;48;2300.0;3;11;0;305732.6;0;26;few_ads;0.0;0.0
9558;39;1.0;34.19821;21.663929;6.0;7;9.0;1973;0.42882583;0;0;25;5011;8;730.0;0;2;0;156375.02;0;57;normally_ads;0.0;1.0
13887;7;3.0;74.971054;46.239246;10.0;16;17.0;1987;0.0;0;0;23;5067;4;900.0;2;6;0;415398.56;0;92;normally_ads;0.0;1.0
4280;34;2.0;61.33497;32.554848;1.0;26;26.0;2014;0.069753364;0;0;53;13670;4;800.0;1;11;0;286564.44;1;111;normally_ads;0.0;1.0
14319;27;2.0;58.93728;34.74007;11.0;2;7.0;1998;0.041116353;0;0;53;14892;4;262.0;1;4;0;217349.25;0;851;many_ads;1.0;0.0
13671;84;3.0;63.728237;38.960934;6.0;9;9.0;1971;0.14966637;0;0;22;4789;2;4087.0;4;1;0;291058.1;0;80;normally_ads;0.0;1.0
9753;23;1.0;41.8457;21.663929;1.0;14;17.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;110620.63;1;565;many_ads;1.0;0.0
13577;61;1.0;33.646713;21.663929;5.0;8;9.0;1975;0.30032253;0;0;52;10311;6;80.0;1;9;0;165018.95;0;118;normally_ads;0.0;1.0
14756;1;1.0;50.617767;46.505676;1.0;10;24.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;175188.95;1;652;many_ads;1.0;0.0
3973;1;2.0;62.969902;31.745611;10.0;14;14.0;2014;0.007122317;0;0;1;264;0;645.0;0;1;0;92127.06;1;652;many_ads;1.0;0.0
13957;123;2.0;58.91192;33.61224;9.0;12;17.0;2005;0.0;0;0;47;11319;0;1145.0;3;5;0;274570.72;0;32;few_ads;0.0;0.0
11765;23;2.0;48.76013;32.554848;1.0;3;3.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;113250.43;0;565;many_ads;1.0;0.0
2930;9;2.0;62.347153;32.554848;1.0;6;6.0;1977;0.16153175;0;0;25;5648;1;30.0;2;4;0;184172.97;1;294;normally_ads;0.0;1.0
6496;1;2.0;53.18797;34.8205;8.0;7;17.0;1990;0.025609156;0;0;33;5261;0;240.0;3;1;0;241419.6;0;652;many_ads;1.0;0.0
8361;57;3.0;64.0151;43.842854;6.0;10;12.0;1984;0.13321534;0;0;49;11395;3;1406.0;3;4;1;270071.62;0;107;normally_ads;0.0;1.0
9970;159;3.0;61.80902;40.444725;6.0;2;9.0;1972;0.015016892;0;0;17;3079;59;2890.0;0;8;0;378581.53;0;6;few_ads;0.0;0.0
3276;27;2.0;62.224567;58.503986;1.0;8;17.0;2016;0.017647052;0;0;2;469;0;262.0;0;0;0;192625.05;0;851;many_ads;1.0;0.0
6761;70;2.0;45.592915;32.554848;6.0;3;9.0;1981;0.002211665;0;0;39;7614;3;3300.0;1;5;1;201121.08;0;27;few_ads;0.0;0.0
11448;39;1.0;35.68306;21.663929;7.0;12;12.0;1977;0.42882583;0;0;25;5011;8;730.0;0;2;0;150513.47;0;57;normally_ads;0.0;1.0
12428;94;2.0;39.900425;32.554848;6.0;12;14.0;1982;0.28279766;0;0;33;8667;2;30.0;0;6;0;204804.84;0;89;normally_ads;0.0;1.0
8583;129;3.0;65.68347;43.53332;7.0;11;12.0;1977;0.020741327;0;0;24;5613;5;1340.0;2;5;0;313452.53;0;43;few_ads;0.0;0.0
2516;3;1.0;42.145275;21.663929;10.0;3;14.0;1984;0.26508868;0;0;37;5288;0;1937.0;3;2;0;225889.69;1;82;normally_ads;0.0;1.0
14635;95;2.0;42.38957;33.064835;5.0;1;5.0;1963;0.0;0;0;7;1660;39;1786.0;1;5;0;224746.81;0;15;few_ads;0.0;0.0
12377;27;2.0;60.445854;32.554848;1.0;13;13.0;1977;0.072157584;0;0;2;629;1;262.0;0;0;1;213798.19;0;851;many_ads;1.0;0.0
14571;78;1.0;44.57041;21.663929;10.0;18;24.0;2011;0.09229064;0;0;21;4346;2;165.0;1;2;0;212821.67;1;46;few_ads;0.0;0.0
3975;1;2.0;65.00928;32.554848;1.0;9;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;186403.48;1;652;many_ads;1.0;0.0
14822;18;3.0;76.23514;47.001816;10.0;9;17.0;1997;0.0;0;0;30;5562;0;3300.0;0;5;1;293371.97;1;51;few_ads;0.0;0.0
367;45;1.0;42.36729;40.012527;1.0;16;16.0;2015;0.19578105;0;0;23;5212;6;1036.0;3;2;0;250466.98;1;116;normally_ads;0.0;1.0
9703;15;4.0;98.68671;57.307056;15.0;10;17.0;2008;0.15824905;0;0;21;5731;0;705.0;1;0;0;373510.06;0;36;few_ads;0.0;0.0
10935;121;3.0;60.438168;43.96785;5.0;5;5.0;1965;0.21251535;0;0;19;3293;16;628.0;3;7;0;269680.62;0;25;few_ads;0.0;0.0
5267;49;1.0;43.444267;21.663929;8.0;18;18.0;2010;0.020741327;0;0;24;5613;5;1340.0;2;5;0;168601.97;1;16;few_ads;0.0;0.0
8753;25;3.0;85.95231;66.317986;1.0;4;4.0;2017;0.069753364;0;0;53;13670;4;1970.0;1;11;0;309688.6;1;77;normally_ads;0.0;1.0
11279;19;2.0;74.441376;35.64027;9.0;23;25.0;2004;0.000991363;0;0;33;6783;3;990.0;1;9;0;435909.12;1;31;few_ads;0.0;0.0
8691;1;2.0;55.23321;32.554848;1.0;13;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;184324.9;0;652;many_ads;1.0;0.0
16188;59;2.0;61.502136;33.121426;10.0;5;17.0;1985;0.019508796;0;0;37;7687;11;176.0;5;5;0;354879.4;0;67;normally_ads;0.0;1.0
10337;28;2.0;43.771828;33.24217;5.0;3;9.0;1968;0.11853738;0;0;30;6207;1;1183.0;1;0;0;203425.39;0;79;normally_ads;0.0;1.0
12087;2;3.0;60.159405;46.354527;5.0;4;9.0;1968;0.30947912;0;0;35;7715;4;990.0;0;6;0;317296.3;0;78;normally_ads;0.0;1.0
6072;6;1.0;65.10202;54.055065;1.0;10;10.0;2015;0.24320452;0;0;5;1564;0;540.0;0;0;0;175899.98;1;511;many_ads;1.0;0.0
6600;96;1.0;35.99014;21.663929;1.0;1;9.0;1978;0.041116353;0;0;53;14892;4;2300.0;1;4;0;155312.3;0;71;normally_ads;0.0;1.0
10726;27;3.0;89.69296;87.62382;1.0;13;13.0;1977;0.072157584;0;0;2;629;1;262.0;0;0;1;265978.84;1;851;many_ads;1.0;0.0
3428;108;3.0;110.20397;59.270702;12.0;19;28.0;2007;0.019508796;0;0;37;7687;11;176.0;5;5;0;146061.73;1;27;few_ads;0.0;0.0
15386;127;2.0;45.92367;32.554848;5.0;3;5.0;1967;0.48624563;0;0;13;2514;19;1183.0;0;6;0;176480.47;0;10;few_ads;0.0;0.0
12613;6;2.0;65.49667;32.554848;1.0;5;17.0;1977;0.24320452;0;0;5;1564;0;540.0;0;0;0;180727.64;1;511;many_ads;1.0;0.0
3749;85;1.0;42.198944;21.663929;10.0;16;22.0;1987;0.03717782;0;0;52;11217;1;2300.0;1;7;0;87182.52;1;76;normally_ads;0.0;1.0
6172;27;2.0;92.40001;69.86446;10.0;2;5.0;1977;0.07542368;0;0;11;3097;0;262.0;0;0;0;116942.67;1;851;many_ads;1.0;0.0
8173;56;1.0;40.812878;21.663929;10.0;10;22.0;1999;0.0;0;0;23;5067;4;2620.0;2;6;0;292718.3;0;34;few_ads;0.0;0.0
14901;31;2.0;62.301292;30.388569;10.0;11;12.0;2008;0.15134622;0;1;32;5889;10;830.0;4;1;0;427526.0;1;55;few_ads;0.0;0.0
9742;1;2.0;63.67261;32.554848;1.0;11;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;194510.14;1;652;many_ads;1.0;0.0
12256;169;1.0;33.25798;21.663929;5.0;7;9.0;1967;0.1789168;0;0;18;3594;4;192.0;1;5;0;201616.28;0;22;few_ads;0.0;0.0
3839;31;3.0;78.471985;52.706825;8.0;6;6.0;1957;0.15134622;0;1;32;5889;10;830.0;4;1;0;419692.97;1;55;few_ads;0.0;0.0
10835;61;2.0;45.586983;34.682384;5.0;5;5.0;1962;0.29820457;0;0;16;4048;3;80.0;1;3;0;177434.77;0;118;normally_ads;0.0;1.0
5460;74;1.0;50.145176;21.663929;1.0;8;12.0;1977;0.07577875;0;0;6;1437;3;1940.0;0;2;0;171901.1;1;114;normally_ads;0.0;1.0
13759;109;1.0;40.117363;21.663929;10.0;5;22.0;1982;0.0;0;0;25;5027;4;46.0;1;1;0;239038.6;1;41;few_ads;0.0;0.0
14787;34;2.0;60.366627;37.83108;10.0;20;20.0;2017;0.069753364;0;0;53;13670;4;800.0;1;11;0;241737.81;0;111;normally_ads;0.0;1.0
9892;62;2.0;71.30476;32.554848;1.0;13;20.0;1977;0.072157584;0;0;2;629;1;80.0;0;0;1;170564.4;1;247;normally_ads;0.0;1.0
3287;27;3.0;92.885544;61.251225;13.0;7;17.0;2015;0.072157584;0;0;2;629;1;262.0;0;0;1;206780.55;1;851;many_ads;1.0;0.0
7967;9;1.0;37.470196;21.663929;7.0;12;17.0;1993;0.069753364;0;0;53;13670;4;1130.0;1;11;0;187899.22;0;294;normally_ads;0.0;1.0
10666;94;1.0;37.985752;21.663929;9.0;8;16.0;1974;0.52186704;0;0;25;6149;0;30.0;0;0;0;137656.12;0;89;normally_ads;0.0;1.0
8141;46;2.0;69.80461;33.82966;12.0;13;16.0;2014;0.18878376;0;0;31;6137;4;1036.0;0;1;0;465067.06;1;119;normally_ads;0.0;1.0
11417;17;1.0;40.090755;21.663929;8.0;6;16.0;1980;0.09344257;0;0;23;4635;5;3300.0;2;4;0;145941.56;0;59;normally_ads;0.0;1.0
14141;23;2.0;57.69962;32.554848;10.0;2;2.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;114168.53;0;565;many_ads;1.0;0.0
9870;62;1.0;51.831474;40.784523;1.0;5;5.0;2015;0.072157584;0;0;2;629;1;80.0;0;0;1;131797.47;1;247;normally_ads;0.0;1.0
4954;23;1.0;44.647896;41.555843;1.0;9;25.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;123749.81;1;565;many_ads;1.0;0.0
14109;62;1.0;47.57728;43.12351;1.0;6;6.0;1977;0.072157584;0;0;2;629;1;80.0;0;0;1;128813.57;1;247;normally_ads;0.0;1.0
14258;44;2.0;44.511406;29.847462;5.0;6;6.0;1960;0.12219048;0;0;25;4724;2;1308.0;1;3;0;189407.28;0;104;normally_ads;0.0;1.0
15848;23;3.0;70.21458;49.364086;9.0;3;3.0;2017;0.005767451;0;0;1;388;0;1406.0;0;0;0;111389.484;0;565;many_ads;1.0;0.0
16779;27;3.0;51.991066;46.96048;1.0;22;25.0;1977;0.072157584;0;0;2;629;1;262.0;0;0;1;174687.56;0;851;many_ads;1.0;0.0
15585;85;1.0;44.038525;40.435806;1.0;15;22.0;1982;0.03717782;0;0;52;11217;1;2300.0;1;7;0;202321.23;1;76;normally_ads;0.0;1.0
3522;6;1.0;66.41984;21.663929;1.0;2;2.0;1977;0.24320452;0;0;5;1564;0;540.0;0;0;0;193361.23;1;511;many_ads;1.0;0.0
4263;27;1.0;54.25519;38.20824;6.0;5;5.0;2017;0.072157584;0;0;2;629;1;262.0;0;0;1;147040.22;1;851;many_ads;1.0;0.0
14264;119;2.0;45.22269;33.485943;5.0;6;9.0;1968;0.000995363;0;0;42;7651;1;1450.0;1;5;0;186508.2;0;49;few_ads;0.0;0.0
658;99;2.0;47.018063;32.554848;6.0;7;9.0;1971;0.012338886;0;0;35;5776;1;2078.0;2;4;0;218392.94;0;97;normally_ads;0.0;1.0
6635;96;2.0;57.639168;34.883125;8.0;3;9.0;1999;0.041116353;0;0;53;14892;4;2300.0;1;4;0;144400.25;0;71;normally_ads;0.0;1.0
14805;41;2.0;54.477867;33.348484;8.0;7;12.0;1983;6.99893e-05;0;0;46;10309;1;240.0;1;16;0;224277.83;1;87;normally_ads;0.0;1.0
16391;57;2.0;56.384773;30.57115;8.0;4;12.0;1983;0.13321534;0;0;49;11395;3;1406.0;3;4;1;213877.56;1;107;normally_ads;0.0;1.0
